source,game,period,draw_date,draw,trial,open_no,source_url,source_note,non_official,status_code,parse_ok,error
一定牛/ydniu,排列五,2026129,2026-05-19,68331,97014,,https://m.ydniu.com/kaijiang/pl5/sjh/2026129.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026129,2026-05-19,023,301,,https://www.3d178.cn/kaijiang/2026/2026129.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026129,2026-05-19,023,316,804,https://www.8200.cn/kjh/3d/2026129.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026130,2026-05-20,070,631,,https://www.8200.cn/kjh/p3/2026130.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026130,2026-05-20,07013,42693,,https://m.ydniu.com/kaijiang/pl5/sjh/2026130.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026130,2026-05-20,267,865,,https://www.3d178.cn/kaijiang/2026/2026130.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026130,2026-05-20,267,189,648,https://www.8200.cn/kjh/3d/2026130.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026131,2026-05-21,968,725,,https://www.8200.cn/kjh/p3/2026131.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026131,2026-05-21,96841,23580,,https://m.ydniu.com/kaijiang/pl5/sjh/2026131.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026131,2026-05-21,598,898,,https://www.3d178.cn/kaijiang/2026/2026131.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026131,2026-05-21,598,547,675,https://www.8200.cn/kjh/3d/2026131.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026132,2026-05-22,443,199,,https://www.8200.cn/kjh/p3/2026132.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026132,2026-05-22,44350,22475,,https://m.ydniu.com/kaijiang/pl5/sjh/2026132.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026132,2026-05-22,756,899,,https://www.3d178.cn/kaijiang/2026/2026132.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026132,2026-05-22,756,690,419,https://www.8200.cn/kjh/3d/2026132.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026133,2026-05-23,543,367,,https://www.8200.cn/kjh/p3/2026133.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026133,2026-05-23,54370,90556,,https://m.ydniu.com/kaijiang/pl5/sjh/2026133.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026133,2026-05-23,080,845,,https://www.3d178.cn/kaijiang/2026/2026133.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026133,2026-05-23,080,412,084,https://www.8200.cn/kjh/3d/2026133.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026134,2026-05-24,515,836,,https://www.8200.cn/kjh/p3/2026134.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026134,2026-05-24,51533,73035,,https://m.ydniu.com/kaijiang/pl5/sjh/2026134.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026134,2026-05-24,654,077,,https://www.3d178.cn/kaijiang/2026/2026134.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026134,2026-05-24,654,577,573,https://www.8200.cn/kjh/3d/2026134.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026135,2026-05-25,939,998,,https://www.8200.cn/kjh/p3/2026135.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026135,2026-05-25,93925,18984,,https://m.ydniu.com/kaijiang/pl5/sjh/2026135.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026135,2026-05-25,487,509,,https://www.3d178.cn/kaijiang/2026/2026135.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026135,2026-05-25,487,463,916,https://www.8200.cn/kjh/3d/2026135.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026136,2026-05-26,466,691,,https://www.8200.cn/kjh/p3/2026136.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026136,2026-05-26,46623,15231,,https://m.ydniu.com/kaijiang/pl5/sjh/2026136.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026136,2026-05-26,889,222,,https://www.3d178.cn/kaijiang/2026/2026136.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026136,2026-05-26,889,299,206,https://www.8200.cn/kjh/3d/2026136.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026137,2026-05-27,544,477,,https://www.8200.cn/kjh/p3/2026137.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026137,2026-05-27,54436,76104,,https://m.ydniu.com/kaijiang/pl5/sjh/2026137.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026137,2026-05-27,165,981,,https://www.3d178.cn/kaijiang/2026/2026137.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026137,2026-05-27,165,581,785,https://www.8200.cn/kjh/3d/2026137.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026138,2026-05-28,263,835,,https://www.8200.cn/kjh/p3/2026138.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026138,2026-05-28,26356,39354,,https://m.ydniu.com/kaijiang/pl5/sjh/2026138.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026138,2026-05-28,790,814,,https://www.3d178.cn/kaijiang/2026/2026138.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026138,2026-05-28,790,396,894,https://www.8200.cn/kjh/3d/2026138.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026139,2026-05-29,198,546,,https://www.8200.cn/kjh/p3/2026139.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026139,2026-05-29,19811,55105,,https://m.ydniu.com/kaijiang/pl5/sjh/2026139.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026139,2026-05-29,286,233,,https://www.3d178.cn/kaijiang/2026/2026139.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026139,2026-05-29,286,042,965,https://www.8200.cn/kjh/3d/2026139.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026140,2026-05-30,421,619,,https://www.8200.cn/kjh/p3/2026140.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026140,2026-05-30,42178,51635,,https://m.ydniu.com/kaijiang/pl5/sjh/2026140.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026140,2026-05-30,285,834,,https://www.3d178.cn/kaijiang/2026/2026140.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026140,2026-05-30,285,745,045,https://www.8200.cn/kjh/3d/2026140.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026141,2026-05-31,215,688,,https://www.8200.cn/kjh/p3/2026141.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
